name,n_valid,vamp2_mean,vamp2_std,spectral_gap_mean,spectral_gap_std,entropy_total_mean,entropy_total_std,eigenvalue_cv_mean,eigenvalue_cv_std,elapsed_sec
baseline,3,-1.8884567817052205,0.03989740492991839,0.0,0.0,1.571625828742981,0.07355140722510277,0.37860265374183655,0.028731662044811073,81.15006375312805
architecture_sweep_model.hidden_dims=[64_64],3,-1.532306283712387,0.10044122077991054,0.051025976737340294,0.07216162833528068,1.3525461951891582,0.33757604792628054,0.48197368780771893,0.0487168971383627,103.07416486740112
architecture_sweep_model.hidden_dims=[128_128_64],3,-1.8884567817052205,0.03989740492991839,0.0,0.0,1.571625828742981,0.07355140722510277,0.37860265374183655,0.028731662044811073,78.35238003730774
architecture_sweep_model.hidden_dims=[256_256_128],3,-1.9367927610874176,0.14918243723205485,0.11562744776407878,0.08868154046524762,1.7136532068252563,0.0813856192746463,0.3429739276568095,0.06371939586902435,69.00633668899536
dropout_sweep_model.dropout=0,3,-1.678569366534551,0.07148956825032207,0.05928616722424825,0.0414137310984013,1.5016804933547974,0.28820553889911177,0.35104342301686603,0.10048346483724298,46.57717275619507
dropout_sweep_model.dropout=0.1,3,-1.8884567817052205,0.03989740492991839,0.0,0.0,1.571625828742981,0.07355140722510277,0.37860265374183655,0.028731662044811073,77.10353827476501
dropout_sweep_model.dropout=0.2,3,-1.4159916241963704,0.09172749653233532,0.018070146441459656,0.025555046171580168,1.2289164066314697,0.22405336770429204,0.5270389417807261,0.09016752764249131,50.802342891693115
dropout_sweep_model.dropout=0.3,3,-1.3179570933183034,0.024110318021830467,0.06787832578023274,0.058151207877353575,1.7296712795893352,0.5634219813934661,0.8074462016423544,0.13372571317509999,43.30787634849548
dropout_sweep_model.dropout=0.5,3,-1.2550952831904094,0.027895818730232752,0.10052607456843059,0.13858893168045797,1.7430039246877034,0.12856249223101207,0.9376372893651327,0.15127249844150753,43.025044679641724
embedding_sweep_data.embedding_dim=1,3,-0.5795589685440063,0.1262642991472202,0.015795640647411346,0.02233840922994086,1.5150373776753743,0.22430014113200963,0.663580596446991,0.09866038189318209,30.513696432113647
embedding_sweep_data.embedding_dim=3,3,-1.4568601946036022,0.11619591046687491,0.0,0.0,1.1748288472493489,0.20301075796037246,0.47378790378570557,0.11107923584787796,57.28528118133545
embedding_sweep_data.embedding_dim=5,3,-1.8884567817052205,0.03989740492991839,0.0,0.0,1.571625828742981,0.07355140722510277,0.37860265374183655,0.028731662044811073,76.56292176246643
embedding_sweep_data.embedding_dim=7,3,-9.991382280985514,0.002100544639550681,1.2576580047607422e-05,1.0034255036274096e-05,1.2707801659901936,0.1386971481476793,5.668985007408386e-05,1.723752365012725e-05,137.63177347183228
embedding_sweep_data.embedding_dim=10,3,-9.990376154581705,0.0006808514798890973,1.52587890625e-05,1.088792680147213e-05,1.4039626916249592,0.010153287114556117,2.598586979729589e-05,1.279219229296864e-05,137.45577359199524
lag_sweep_data.tau=1,3,-9.993812719980875,0.0006748898883650714,0.0,0.0,34.30483945210775,6.798425760144995,1.4115453571624434e-05,5.911923920216515e-06,137.0050630569458
lag_sweep_data.tau=2,3,-9.994731267293295,0.00017276398033999016,0.0,0.0,8.974522908528646,0.8476466600579505,1.875645284599159e-05,2.0781804894133835e-06,136.37380266189575
lag_sweep_data.tau=5,3,-1.8884567817052205,0.03989740492991839,0.0,0.0,1.571625828742981,0.07355140722510277,0.37860265374183655,0.028731662044811073,76.92575788497925
lag_sweep_data.tau=10,3,-0.8934919536113739,0.04924661738984727,0.10348370671272278,0.08473923664062125,0.36245448390642804,0.06311842108612077,0.8740859826405843,0.17929446818721542,14.493717193603516
lag_sweep_data.tau=20,3,-0.6367986549933752,0.1267620884078286,0.03960226724545161,0.04739433138904887,0.09391260395447414,0.03064133379839747,0.5018048187096914,0.060693268533684994,18.779137134552002
lag_sweep_data.tau=50,3,-0.28632791588703793,0.013314956306229852,0.013701796531677246,0.011885735861697578,0.012335959821939468,0.0023997715851119834,0.38964428504308063,0.05760811957913096,24.647634267807007
linear_features,3,-0.2594713301708301,0.0029121174870336513,0.0,0.0,0.9562919537226359,0.07721806130807672,0.5394473075866699,0.09086670412644689,18.397994995117188
n_modes_sweep_model.n_modes=3,3,-0.6194415589173635,0.018044896769799548,0.19999628265698752,0.15499550808328294,0.5811879535516103,0.15458998894602732,0.22084756443897882,0.1460045365471762,30.674232244491577
n_modes_sweep_model.n_modes=5,3,-0.7960510154565176,0.048190754748397756,0.07070810596148173,0.07221173288572066,0.9267397125562032,0.26148680058988205,0.24756410469611487,0.1590776606874861,42.95302987098694
n_modes_sweep_model.n_modes=10,3,-1.8884567817052205,0.03989740492991839,0.0,0.0,1.571625828742981,0.07355140722510277,0.37860265374183655,0.028731662044811073,76.23173546791077
n_modes_sweep_model.n_modes=20,3,-3.6461204290390015,0.12208201476318425,0.16918115317821503,0.04408060662090346,3.1999194622039795,0.24814246418583824,0.6376345356305441,0.02942036581919582,67.14067244529724
n_modes_sweep_model.n_modes=50,3,-12.342237949371338,0.04095409411805385,0.013852934042612711,0.019591007201722844,6.905536492665608,0.11814378666353781,0.469832847515742,0.020702454259650935,32.42974853515625
no_embedding,3,-0.5795589685440063,0.1262642991472202,0.015795640647411346,0.02233840922994086,1.5150373776753743,0.22430014113200963,0.663580596446991,0.09866038189318209,30.122283935546875
no_entropy,3,-1.8884567817052205,0.03989740492991839,0.0,0.0,1.571625828742981,0.07355140722510277,0.37860265374183655,0.028731662044811073,76.55357122421265
no_orthogonality,3,-1.9465062419573467,0.0299356692377737,0.04961848258972168,0.0391660657563904,1.4988693793614705,0.07241422560879475,0.3940756022930145,0.026764190991417167,64.41123414039612
no_spectral_penalty,3,-1.8884567817052205,0.03989740492991839,0.0,0.0,1.571625828742981,0.07355140722510277,0.37860265374183655,0.028731662044811073,76.54727172851562
shared_weights,3,-1.8884567817052205,0.03989740492991839,0.0,0.0,1.571625828742981,0.07355140722510277,0.37860265374183655,0.028731662044811073,76.9024715423584
standardization,3,-1.8883701264858246,0.03985052532519492,0.0,0.0,1.5717886288960774,0.07364072057177093,0.3787429432074229,0.028623727632999186,76.69189953804016
window_sweep_rolling.window_size=250,3,-1.8884567817052205,0.03989740492991839,0.0,0.0,1.571625828742981,0.07355140722510277,0.37860265374183655,0.028731662044811073,76.99670767784119
window_sweep_rolling.window_size=500,3,-1.8884567817052205,0.03989740492991839,0.0,0.0,1.571625828742981,0.07355140722510277,0.37860265374183655,0.028731662044811073,77.79363894462585
window_sweep_rolling.window_size=750,3,-1.8884567817052205,0.03989740492991839,0.0,0.0,1.571625828742981,0.07355140722510277,0.37860265374183655,0.028731662044811073,77.35239315032959
window_sweep_rolling.window_size=1000,3,-1.8884567817052205,0.03989740492991839,0.0,0.0,1.571625828742981,0.07355140722510277,0.37860265374183655,0.028731662044811073,77.7247006893158
